Element,Discovery Date,Periodic table column,Periodic Table Row,Atomic number,Atomic Weight,Density,Melting Point (K),Boiling Point (K),Ionic radius (ang),Atomic Radius (ang),Abundance - crust (currently incorrect?),Abundance - Human (by mass),Abundance - Meteorite (by mass),Abundance - Universe (by mass),Speed of sound (m/s)
Copper,2012,11,-4,29,63.546,8.96,1356,2840,0.73,1.57,0,0.000001,0.00011,0.000006,3570
Zinc,2012,12,-4,30,65.39,7.13,693,1180,0.74,1.53,0,0.000033,0.00018,0.0000003,3700
Gallium,2012,13,-4,31,69.723,5.91,303,2676,0.62,1.81,0,0,0.0000076,0.000001,2740
Germanium,2012,14,-4,32,72.64,5.32,1210,3103,0.53,1.52,0,0,0.000021,0.0000002,5400
Arsenic,2012,15,-4,33,74.9216,5.72,354,886,0.58,1.33,0,0.000005,0.0000018,0.0000008,0
Selenium,2012,16,-4,34,78.96,4.79,490,958,0.5,1.22,0,0.000005,0.000013,0.000003,3350
Bromine,2012,17,-4,35,79.904,3.12,266,332,1.96,1.12,0,0.0000029,0.0000012,0.0000007,0
Krypton,2012,18,-4,36,83.8,3.75,116,120,,1.03,0,0,0,0.000004,1120
Rubidium,2012,1,-5,37,85.4678,1.63,312,961,1.52,2.98,0,0.0000046,0.0000032,0.000001,1300
Strontium,2012,2,-5,38,87.62,2.54,1042,1657,1.12,2.45,0,0.0000046,0.0000087,0.000004,0
Yttrium,2012,3,-5,39,88.9059,4.47,1796,3610,,2.27,0,0,0.0000019,0.0000007,3300
Zirconium,2012,4,-5,40,91.224,6.51,2125,4650,0.72,2.16,0.025,0.000005,0.0000066,0.000005,3800
Niobium,2012,5,-5,41,92.9064,8.57,2741,5200,0.69,2.08,0,0,0.00000019,0.0000002,3480
Molybdenum,2012,6,-5,42,95.94,10.22,2890,4885,0.65,2.01,0,0.0000001,0.0000012,0.0000005,6190
Technetium,2012,7,-5,43,98,11.5,2473,5150,0.56,1.95,0,0,0,0,0
